Thu Oct 15 09:56:58 IST 2020 domain:banking_cee user:John sessionId:d1-RLAWJP3M9JCW clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@2000b336
Thu Oct 15 10:01:01 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d2-ECWHNWIQBMA0 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@4b7f31f8
Thu Oct 15 10:02:27 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-ERAQIIZHXLBO clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@c63656c
Thu Oct 15 10:03:00 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-ERAQIIZHXLBO clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@12316051
Thu Oct 15 10:03:26 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-ERAQIIZHXLBO clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@80af93
Thu Oct 15 10:04:11 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-ERAQIIZHXLBO clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@c04c8dd
Thu Oct 15 10:04:49 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-ERAQIIZHXLBO clientIP:192.168.0.101 task:EVT_getConfirmation TYPE:GroovyAction@26795e92
Thu Oct 15 10:05:13 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d4-LDM7PPQJ2LOU clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@294e91ae
Thu Oct 15 10:05:43 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d4-LDM7PPQJ2LOU clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@b6e297
Thu Oct 15 10:06:40 IST 2020 domain:banking_cee user:Cordelia Sharp sessionId:d5-BPQ2QPRVPPUQ clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@5eec5665
Thu Oct 15 10:07:47 IST 2020 domain:banking_cee user:Homer Dixon sessionId:d6-AOUQU6EIGRM8 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@2210a3e9
Thu Oct 15 10:08:09 IST 2020 domain:banking_cee user:Homer Dixon sessionId:d6-AOUQU6EIGRM8 clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@7ab2898
Thu Oct 15 10:09:26 IST 2020 domain:banking_cee user:Sebastian Mcculloch sessionId:d7-J79EZFPV9NQH clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@a187aad
Thu Oct 15 10:09:48 IST 2020 domain:banking_cee user:Sebastian Mcculloch sessionId:d7-J79EZFPV9NQH clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@274bfc51
Thu Oct 15 10:12:08 IST 2020 domain:banking_cee user:John sessionId:d8-8HXVI5AD2OFG clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@576147f2
Thu Oct 15 10:14:47 IST 2020 domain:banking_cee user:John sessionId:d1-FHUEEB22MPLE clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@729c8b29
Thu Oct 15 10:15:04 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d2-9KCCFNQFQRUQ clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@8891ffd
Thu Oct 15 10:15:12 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d2-9KCCFNQFQRUQ clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@4851c716
Thu Oct 15 10:15:23 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d3-JXLFQ9ICRHXO clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@3e1f3255
Thu Oct 15 10:15:29 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d3-JXLFQ9ICRHXO clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@1b898eb4
Thu Oct 15 10:15:43 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d3-JXLFQ9ICRHXO clientIP:192.168.0.101 task:getTransactions TYPE:GroovyAction@458cdbc2
Thu Oct 15 10:16:04 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d3-JXLFQ9ICRHXO clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@c221aa5
Thu Oct 15 10:16:50 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d4-AGVWWRU2MQ6E clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@40a5f355
Thu Oct 15 10:18:26 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d4-AGVWWRU2MQ6E clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@58265302
Thu Oct 15 10:21:22 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d5-JPVDYWEPXICG clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@3e77efda
Thu Oct 15 10:21:55 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d5-JPVDYWEPXICG clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@714b5b1e
Thu Oct 15 10:22:21 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d5-JPVDYWEPXICG clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@4980b285
Thu Oct 15 10:23:06 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d6-WUPRTG6LLOCA clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@4971d511
Thu Oct 15 10:24:05 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d7-OUMBBQADHKHF clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@5ca45b2c
Thu Oct 15 10:24:35 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d7-OUMBBQADHKHF clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@751b9292
Thu Oct 15 10:25:00 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d7-OUMBBQADHKHF clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@7c6b3206
Thu Oct 15 10:25:31 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d7-OUMBBQADHKHF clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@304def3a
Thu Oct 15 10:26:06 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d7-OUMBBQADHKHF clientIP:192.168.0.101 task:EVT_getConfirmation TYPE:GroovyAction@1d0d4d68
Thu Oct 15 10:26:34 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@41bf4d5e
Thu Oct 15 10:26:57 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@6f18bd7
Thu Oct 15 10:27:31 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:getTransactions TYPE:GroovyAction@6904424d
Thu Oct 15 10:28:06 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@2f50d66d
Thu Oct 15 10:29:04 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-KVHGU7BILWYP clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@5bac3c3f
Thu Oct 15 10:30:15 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d10-ILVM9Q7RLUN8 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@262d34d4
Thu Oct 15 10:31:27 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d11-G8X4N5GK1HQA clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@11b71c56
Thu Oct 15 10:31:56 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d11-G8X4N5GK1HQA clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@4130aab
Thu Oct 15 10:32:29 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d11-G8X4N5GK1HQA clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@5155351c
